date,price,vol_spot_24h,market_cap
2017-10-18,0.02684535,2351678.122306,696021404.3079604
2017-10-19,0.02682995,2815155.9696,695622018.2559936
2017-10-20,0.03029961,8883473.082063,785580027.6424098
2017-10-21,0.02858796,5308856.917096,741202123.8797704
2017-10-22,0.02779604,2901876.122086,720669848.4724126
2017-10-23,0.02604513,3505126.543112,675273816.053428
2017-10-24,0.0274174,7822397.543948,710852942.3615782
2017-10-25,0.0272693,2513886.637624,707013105.4597949
2017-10-26,0.0265914,2369400.241402,689437113.7144977
2017-10-27,0.02650962,2569633.779336,687316826.4044167
2017-10-28,0.02597641,1729975.272514,673492286.1223357
2017-10-29,0.02835204,4636164.255564,735085222.7844126
2017-10-30,0.02838541,3794753.020104,735950462.4388821
2017-10-31,0.0302511,7251416.95022,784322281.6027645
2017-11-01,0.02309604,7901021.254424,598812560.9812648
2017-11-02,0.02132058,5955251.345758,552780115.686688
2017-11-03,0.02278943,3029089.735904,590863052.9170463
2017-11-04,0.02180208,2455852.837567,565264037.9883977
2017-11-05,0.02202632,2245833.516086,571077843.8126849
2017-11-06,0.02230356,4843621.340866,578266095.092228
2017-11-07,0.02228857,2527154.86621,577877214.2109797
2017-11-08,0.02514635,6534368.13445,651971147.3307619
2017-11-09,0.0327695,20628139.786781,849617009.7707921
2017-11-10,0.02729304,6563683.784284,707628644.4042084
2017-11-11,0.02749852,5632137.891195,712956034.570149
2017-11-12,0.02452165,7550744.664249,635774572.7517922
2017-11-13,0.02511429,4284485.972082,651139900.5067863
2017-11-14,0.02622831,3183479.973195,680023121.191746
2017-11-15,0.02601455,6362414.671899,674481157.867525
2017-11-16,0.02710627,4825255.352786,702786226.652537
2017-11-17,0.02591675,3514321.278196,671945487.478645
2017-11-18,0.02652772,2984199.948861,687786073.938608
2017-11-19,0.02772121,4652800.377164,718729791.325827
2017-11-20,0.03000274,15546079.394535,777883050.1223791
2017-11-21,0.02859822,5910630.576014,741467951.3245009
2017-11-22,0.02873155,4912298.823714,744924903.206561
2017-11-23,0.02794067,5222693.560067,724419632.8116369
2017-11-24,0.02851194,5653201.555709,739231013.334716
2017-11-25,0.03061479,6199363.765145,793751757.5837951
2017-11-26,0.03854787,30963775.99629,999433438.691236
2017-11-27,0.05046904,81568060.725105,1308514307.56615
2017-11-28,0.12072568,341785540.016436,3130063311.79723
2017-11-29,0.09263587,170782434.03361,2401776731.97084
2017-11-30,0.12406471,123583686.659491,3216634513.08707
2017-12-01,0.13084911,54354032.935783,3392534112.11863
2017-12-02,0.13529005,42520482.68666,3507674559.84146
2017-12-03,0.13192855,33634685.308244,3420520703.41699
2017-12-04,0.13631823,73582496.341503,3534332361.0504
2017-12-05,0.13126607,50109378.741091,3403344673.62041
2017-12-06,0.12899801,71389916.560964,3344540395.15708
2017-12-07,0.11349978,63143994.706804,2942716690.04155
2017-12-08,0.11977111,72541326.961392,3105314029.77127
2017-12-09,0.12206968,63562094.44227,3164909210.30234
2017-12-10,0.11075318,44638620.01466,2871505505.06286
2017-12-11,0.1201683,39074223.84499,3115612115.86568
2017-12-12,0.1335739,62282284.191691,3463179987.1099
2017-12-13,0.1343765,62897525.724698,3483989039.4741
2017-12-14,0.21701136,237044480.930081,5626468819.76509
2017-12-15,0.21763441,213587305.957,5642622686.128031
2017-12-16,0.40820445,669971136.228786,10583545519.8641
2017-12-17,0.47558948,590821285.865066,12330642063.9879
